LOB,LoginID,SourceMachineName,ExecutionMachineName,ScriptName,Status,Iterations,DTStarTime,DTEndTime,TestStatus,IterationStatus,TestType,DATE,ReleaseName,Environment,TestSetPath,DeviceBrowser,DeviceType,OS,OSversion,Complexity,IssueType,SubType,IssueLogs,TestCaseType,Technology,FrameworkType,RunTime,Cycle,TeamName,reportLink
SFP,goelgj,GBMLVVCSW2359,,tc_02_functional_dunmore_DealSummary.py,End,1,18:32.6,18:35.8,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,3,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_02_functional_dunmore_DealSummary.py,End,1,17:48.5,18:24.5,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,35,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_01_functional_demios_DealSummary.py,End,1,47:35.0,47:37.9,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,2,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_01_functional_demios_DealSummary.py,End,1,52:43.7,52:48.1,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,4,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_01_functional_demios_DealSummary.py,End,1,38:04.0,38:42.1,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,38,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_02_functional_dunmore_DealSummary.py,End,1,28:05.7,28:27.7,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,22,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_02_functional_dunmore_DealSummary.py,End,1,35:56.6,36:09.3,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,12,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_01_functional_demios_DealSummary.py,End,1,55:02.7,55:31.8,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,29,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_02_functional_dunmore_DealSummary.py,End,1,09:25.8,09:49.9,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,24,Iteration 1,Jarvis,
SFP,goelgj,GBMLVVCSW2359,,tc_01_functional_demios_DealSummary.py,End,1,25:55.6,26:28.8,Fail,End,Regression,07/10/2022,SFP+,SIT,,,,,,,,,,,Python,PYETL,33,Iteration 1,Jarvis,
